name,country_code
Brazil,BRA
BANJUL,AZE
MALANG,IDN
KEDIRI,IDN
PROVINCE DE SETTAT,MAR
LONDRES CG,BRA
Uzbekistan,UZB
UGANDA GOVT DUBAI,UGA
SINGAPORE,IND
UGANDA GOVT MBALE,UGA
RUSSIAN FEDERATION,RUS
TALPA ESTHER DOMINGUEZ BAZANEZ,MEX
RUSSIA,RUS
United States Department of State,DZA
JAKARTA SELATAN,IDN
CONS MADRID,IND
CIREBON,IDN
BATAM,IDN
Kyrgyzstan,KGZ
Ukraine,IND
SRS,KGZ
TANGERANG,IDN
BANDAR LAMPUNG,IDN
TIANJIN,PHL
PE TEL AVIV,PHL
G BOLIVAR,COL
SERVICO NACIONAL DE MIGRACAO,COL
ADALAR,TKM
MD MIA OF TAJIKISTAN,TJK
MINISTRY OF INTERNAL AFFAIRS,KAZ
MVD,RUS
BANDUNG,IDN
PREFECTURE DE MOULAY RACHID,MAR
CILACAP,IDN
DIA in Mastchoh,TJK
DFA KIDAPAWAN,PHL
ANKARA,TKM
UGANDA GOVT KAMPALA UGA,UGA
HYDERABAD,IND
SRI LANKA,LKA
JAKARTA TIMUR,IDN
ABU DHABI UAE,NGA
SOUSSE SUD,TUN
REGISTRAR GENERAL,ZWE
DGDN LOME,MNG
BORNOVA,TKM
SENEGAL,NPL
ABU DHABI,PHL
Cirebon,IDN
Kolkata,IND
PE ATHENS,PHL
DEA MANILA,PHL
Government of Kenya,KEN
DFA P PRINCESA,PHL
Singapore,IND
Uganda Govt Mbarara,UGA
Colombo,LKA
Uga Government Mbarara,UGA
Registrar General HRE,ZWE
PE Abu Dhabi,PHL
MOFA DEPARTMENT OF PASSPORTS,NPL
Cochin,IND
UKRAINE,IND
UGANDA GOVT WASHINGTON DC,UGA
Visakhapatnam,IND
DFA Manila,PHL
MADIUN,IDN
BELUGYMINISZTERIUM,BUL
KAMPALA,UGA
PE LONDON,PHL
BIR EL DJIR,DZA
BHOPAL,IND
Dubai,IND
Jalandhar,IND
Guwahati,IND
Trivandrum,IND
DFA PAGADIAN,PHL
PCG Dubai,PHL
Uganda Government Kampala,UGA
DFA NCR Northeast,PHL
RAIPUR,IND
G QUINDIO,COL
UGANDA GOVT JINJA,UGA
KIGALI,UGA
DFA Lucena,PHL
Amritsar,IND
THE PPCG JEDDAH,PHL
PCG ISTANBUL,PHL
BOGOR,IDN
Tiruchirappalli,IND
MINISTRY OF INTERNAL AFFAIRS,BLR
AUTHORITY COLOMBO,LKA
PREFECTURE D AL FIDA MERS SULTAN,MAR
S D PAF,CIV
ABU DHABI,COL
VASLUI,ARM
Uganda Govt Kampala,UGA
Coimbatore,IND
Police Nationale,MDG
JALANDHAR,PHL
Chandigarh,IND
DFA Davao,PHL
KBRI SINGAPURA,IDN
LA MARSA,TUN
Bengaluru,IND
MOHA PATHEIN,MMN
PE BAGHDAD,PHL
Uganda Govt Abu Dhabi,UGA
PE RABAT,PHL
Ministry of Foreign Affairs,THA
EGYPT,KGZ
GHAZIABAD,IND
Ahmedabad,IND
PE CAIRO,PHL
Kazakhstan,KAZ
UGA GOVT MBALE,UGA
Prefecture de Sidi Bernoussi,MAR
PCG Jeddah,PHL
PE Riyadh,PHL
KBRI BS BEGAWAN,IDN
SUMBAWA BESAR,IDN
UGA GOVT MBARARA,UGA
Pune,IND
GOVT UGANDA GULU,UGA
DFA TAGBILARAN,PHL
Cilegon,IDN
Tangerang,IDN
UTC KUALA LUMPUR,ESP
PROVINCE DE SIDI SLIMANE,MAR
