name,country_code,Maid’s ID
KATA,ETH,
SEKOTA,ETH,
SHIRKA,ETH,
AYUNGON NEG OR,PHL,
DAGUPAN CITY,PHL,
NAMPICUAN NE,PHL,
STO TOMAS DAVAO,PHL,
KAFTA,ETH,
HOSSAENA,ETH,
ASELA,ETH,
BORU LENCHA,ETH,
DEBREZEIT,ETH,
DUKEM,ETH,
DEBREZIET,ETH,
BONDJOCK,CMR,
IMUS CAVITE,PHL,
MAAYON CAPIZ,PHL,
BALLESTEROS CAG,PHL,
HAGONOY BULACAN,PHL,
PALO LEYTE,PHL,
KILINDINI,KEN,
TABACO ALBAY,PHL,
SN EMILIO ILS SR,PHL,
CLARIN MIS OC,PHL,
SAN PABLO CITY,PHL,
BASEY W SAMAR,PHL,
G GENEROSO DV OR,PHL,
SAN PASCUAL MBT,PHL,
SN FERNANDO CEBU,PHL,
SURALLAH SO COT,PHL,
KUMALARANG ZDS,PHL,
BALAOAN LA UNION,PHL,
MATALAM NO COT,PHL,
BAKAMUNA,LKA,
LAMUT IFUGAO,PHL,
TABINA ZAM DS,PHL,
GOMBA,UGA,
MAGSINGAL ILS SR,PHL,
STO DOMINGO NE,PHL,
SHEWA,ETH,
ALAPPUZHA KERALA,IND,
KOLLAM KERALA,IND,
LUMBATAN LDS,PHL,
LAS TUNAS CUB,UGA,
OLONGAPO CITY,PHL,
FARTA,ETH,
JITU,ETH,
TURUFE,ETH,
KIMBIBIT,ETH,
SIRE,ETH,
ARSSI,ETH,
TUY BATANGAS,PHL,
LAKEWOOD ZAM DS,PHL,
MACO DVO DN,PHL,
STAREHE,KEN,
CORDON ISABELA,PHL,
PORAC PAMPANGA,PHL,
GARCHITORENA CAM,PHL,
EAST WOLLEGA,ETH,
DEGAABOTIE,ETH,
USSR,RUS,
TIGIRAY,ETH,
TAGBILARAN CITY BHL,PHL,
PARANAS SAMAR,PHL,
DON CARLOS BKN,PHL,
TUBURAN CEBU,PHL,
TUNGAWAN ZAM DS,PHL,
ABEYE GURBA,ETH,
TABUELAN CEBU,PHL,
KAUSWAGAN LDN,PHL,
BALANGA BATAAN,PHL,
DULAG LEYTE,PHL,
MATTANCHERRY KERALA,IND,
POTOTAN ILOILO,PHL,
POZORRUBIO PGN,PHL,
PAVIA ILOILO,PHL,
SURAPAGUDEM ANDHRA PRADESH,IND,
CATUBIG NO SAMAR,PHL,
GUNCHIRE,ETH,
DAILEKH,NPL,
ARGHAKHANCHI,NPL,
NAMOK REZAY SIKKIM,IND,
MANDALUYONG RZL,PHL,
KALU,ETH,
NIABLE,CIV,
BUHI CAM SUR,PHL,
SUNSARI,NPL,
MARIHATAG SGO DS,PHL,
TARLAC TARLAC,PHL,
CABATUAN ILOILO,PHL,
HINOBA AN NEG OC,PHL,
LIMAY BATAAN,PHL,
URDANETA PGN,PHL,
CASTELLANA N OC,PHL,
DIONISIO ILOILO,PHL,
BAUNGON BUKIDNON,PHL,
DUMANJUG CEBU,PHL,
CADIZ CITY,PHL,
LUTAYAN S KUD,PHL,
CEBU CITY,PHL,
ALICIA BOHOL,PHL,
KIDAPAWAN COTABATO,PHL,
BAAO CAM SUR,PHL,
RT LIM ZAM DS,PHL,
GMACARTHUR E SMR,PHL,
SIAYAN ZAM DN,PHL,
SAN JUAN ILS SR,PHL,
SN MARIANO ISABELA,PHL,
CALABANGA CAM S,PHL,
MANAOAG PGN,PHL,
ANILAO ILOILO,PHL,
UMINGAN PGN,PHL,
PALOMPON LEYTE,PHL,
VICTORIA LAGUNA,PHL,
L JAENA MIS OC,PHL,
JAYANKONDAM TAMIL NADU,IND,
BACOLOD CITY,PHL,
SORSOGON SSG,PHL,
HARIPPAD KERALA,IND,
PANGANTUCAN BKN,PHL,
RUSSIA,RUS,
LUCENA CITY,PHL,
PINAMALAYAN MDO,PHL,
TUGUEGARAO CAG,PHL,
TIBIAO ANTIQUE,PHL,
OZAMIZ CITY,PHL,
KITUI,KEN,
IBADAN,PHL,
MULAGO,UGA,
DIPACULAO AURORA,PHL,
AGOO LA UNION,PHL,
BACO OR MDO,PHL,
GLORIA OR MDO,PHL,
GURGAON HARYANA,IND,
TAYTAY RIZAL,PHL,
MBARARA,UGA,
RIKHAR BIHAR,IND,
KATHMANDU,NPL,
VISAKHAPATNAM ANDHRA PRADESH,IND,
ORMOC CITY,PHL,
CALUMPIT BULACAN,PHL,
LIMURU KEN,KEN,
NAKURU KEN,KEN,
NASUGBU BATANGAS,PHL,
DASMARINAS CAV,PHL,
ISULAN S KUDARAT,PHL,
POLILLO QUEZON,PHL,
BATAC ILOCOS N,PHL,
BANISILAN COTABATO,PHL,
SJDM BULACAN,PHL,
ULUTANGA ZAM DS,PHL,
ROSARIO LA UNION,PHL,
PADRE GARCIA BTS,PHL,
PANDI BULACAN,PHL,
CALUBIAN LEYTE,PHL,
PANTUKAN DAVAO,PHL,
MALOLOS BULACAN,PHL,
ANTIPOLO RIZAL,PHL,
MURIKKADY KERALA,IND,
DAVAD CITY,PHL,
BACLAYON BOHOL,PHL,
CARAGA DVO OR,PHL,
N LUCENA ILOILO,PHL,
MUNTINLUPA MM,PHL,
WAKISO,UGA,
DEJEN,ETH,
ARIPALAM KERALA,IND,
PEVE MAHARASHTRA,IND,
PANADURA,LKA,
WATHUPITIWALA,LKA,
MUMBAI MAHARASHTRA,IND,
KOLKATA WEST BENGAL,IND,
TACURONG CITY,PHL,
LUBAO PAMPANGA,PHL,
TANAY RIZAL,PHL,
NASIPIT ADN,PHL,
KIAMBA SO COT,PHL,
B NUEVO ILOILO,PHL,
MACO COMV,PHL,
SIPOCOT CAM SUR,PHL,
LABANGAN ZAM DS,PHL,
VILLASIS PGN,PHL,
JIPAPAD E SAMAR,PHL,
PASAY MM,PHL,
SN MARCELINO ZBS,PHL,
S JOAQUIN ILOILO,PHL,
SANCHEZ MIRA CAG,PHL,
NORTH SHOA,ETH,
DILASAG AURORA,PHL,
MANAPLA NEG OC,PHL,
TAPAZ CAPIZ,PHL,
MALAYBALAY BKN,PHL,
SAN PEDRO LAGUNA,PHL,
PADADA DVO DS,PHL,
BULA CAM SUR,PHL,
TINGLOY BATANGAS,PHL,
IBA ZAMBALES,PHL,
CABAGAN ISABELA,PHL,
ALLANERA N ECIJA,PHL,
PARANAQUE MM,PHL,
KIDAPAWAN NO COT,PHL,
KIBAWE BUKIDNON,PHL,
BAGO CITY,PHL,
NAGOOR TAMIL NADU,IND,
BUDGE BUDGE WEST BENGAL,IND,
KALLEKULAM KERALA,IND,
NORTH GONDAR,ETH,
BANKE,NPL,
BHATPARA B TE WEST BENGAL,IND,
PYUTHAN,NPL,
KOZHENCHERRY KERALA,IND,
BAL PUNJAB,IND,
KATHOR SURAT GUJARAT,IND,
B  KALAWI LDS,PHL,
SYANGJA,NPL,
MANA,ETH,
CHIR LALU,ETH,
DEBREBIRHAN,ETH,
CHOBI,ETH,
LOME,ETH,
WARA,ETH,
NGOUH WUM,CMR,
HARARE,ZWE,
MALIKPUR BET PUNJAB,IND,
ATOTA,ETH,
DOYO GENA,ETH,
NORTH SHEWA,ETH,
BENGALURU KARNATAKA,IND,
LUCKNOW UTTAR PRADESH,IND,
MANGALORE KARNATAKA,IND,
DUMAGUETE CITY,PHL,
GIMBCHU,ETH,
TICHO,ETH,
DIKSIS,ETH,
AREKA,ETH,
ADOLA WOYU,ETH,
GEDEB,ETH,
M PADILLA NEG OC,PHL,
LILOAN SO LEYTE,PHL,
SAN FERNANDO PMP,PHL,
TEFKI,ETH,
TKM,TKM,
KABUNTALAN MGD,PHL,
PIGCAWAYAN COT,PHL,
MBIAME JAKIRI,CMR,
LAMJUNG,NPL,
BURKITOTA ODISHA,IND,
KOLADIBA,ETH,
LIBON ALBAY,PHL,
KALOLENI,KEN,
MACHAKOS KEN,KEN,
TORORO,UGA,
BONGABON N ECIJA,PHL,
BASILISA SGO DN,PHL,
MANNAR KERALA,IND,
EZHUMATTOOR KERALA,IND,
BURKITU,ETH,
WADLA,ETH,
TACH ARMACHIHO,ETH,
SENGO YAYA,ETH,
MAGSAYSAY MIS OR,PHL,
DIMASALANG MBT,PHL,
CUYAPO N ECIJA,PHL,
MARILAO BULACAN,PHL,
ADAMITULU,ETH,
BURDEOS QUEZON,PHL,
TANAUAN BATANGAS,PHL,
CAWAYAN MASBATE,PHL,
LASAM CAGAYAN,PHL,
ISABELA NEG OC,PHL,
MENAGESHA,ETH,
WOLAITA,ETH,
MURASA,ETH,
AGDANGAN QUEZON,PHL,
CALACA BATANGAS,PHL,
DINALUPIHAN BTN,PHL,
MABALACAT PMP,PHL,
VALENZUELA BUL,PHL,
TRENTO ADS,PHL,
FANA MURA,ETH,
BOLE,ETH,
KOMBOLCHA,ETH,
SULULTA,ETH,
HARO HADO,ETH,
ARARA,ETH,
CHISA,ETH,
AMEKA,ETH,
SOUTH GONDER,ETH,
ADI DAERO,ETH,
THIKA EAST,KEN,
HAWASSA,ETH,
LA PAZ TARLAC,PHL,
MARAGUA,KEN,
STA MARIA DVO DS,PHL,
SARA ILOILO,PHL,
MONDRAGON NO SMR,PHL,
MERTI,ETH,
HADERO,ETH,
NEGELE,ETH,
KOOTHALI KERALA,IND,
KOLAR GOLD FIELD KARNATAKA,IND,
WESTERN RUKUM,NPL,
PALAKKAD KERALA,IND,
DOYOGENA,ETH,
NORTH WOLO,ETH,
AMORAGEDEL,ETH,
ABELA,ETH,
GIMBICHU,ETH,
HADIYA,ETH,
TANAHUN,NPL,
MORANG,NPL,
NAWALPARASI EAST,NPL,
PUTHENVELIKKARA KERALA,IND,
ACCRA,TZA,
DAGAMI LEYTE,PHL,
DIRE ENCHINI,ETH,
SIMULBARI DARJEELING WEST BENGAL,IND,
INFANTA QUEZON,PHL,
A LISTA IFUGAO,PHL,
MERU NORTH,KEN,
AXUM,ETH,
OSHAWA CAN,IND,
MAKONDE,ZWE,
RAKAI,UGA,
MABINI DVO DN,PHL,
SAGADA MT PRO,PHL,
BARINGO CENTRAL,KEN,
AMADEO CAVITE,PHL,
MANDALUYONG MM,PHL,
ATIMONAN QUEZON,PHL,
BAUAN BATANGAS,PHL,
JUBAN SORSOGON,PHL,
BACOOR CAVITE,PHL,
SAN ANTONIO NE,PHL,
TOLEDO CEBU,PHL,
MADDELA QUIRINO,PHL,
LOAY BOHOL,PHL,
TAGUDIN ILS SR,PHL,
SAN ENRIQUE N OC,PHL,
BUSTOS BULACAN,PHL,
SAN LUIS PAMPANGA,PHL,
S NICOLAS ILS NO,PHL,
SARIAYA QUEZON,PHL,
KISII KEN,KEN,
POLA OR MDO,PHL,
ARGAO CEBU,PHL,
BUGUEY CAGAYAN,PHL,
MANGALDAN PGN,PHL,
KAKAMEGA KEN,KEN,
TAGUM DAVAO,PHL,
CILACAP,IDN,
LANAO,PHL,
CAUAYAN ISABELA,PHL,
BENAULIM GOA,IND,
KALUNGU,UGA,
NABUNTURAN DAVAG,PHL,
DINAS ZAM DS,PHL,
MULANDA,UGA,
LAMBAYONG S KUD,PHL,
SINILOAN LAGUNA,PHL,
GEN SANTOS CITY,PHL,
CALINOG ILOILO,PHL,
S CARLOS CTY PGN,PHL,
LAS PINAS MM,PHL,
SANTIAGO ISABELA,PHL,
SAN FERNANDO LAU,PHL,
SIPALAY NEG OC,PHL,
MASINDI,UGA,
HINABANGAN SAMAR,PHL,
MANITO ALBAY,PHL,
NAGCARLAN LAGUNA,PHL,
MAKATI MM,PHL,
S TOMAS LA UNION,PHL,
STA IGNACIA TLC,PHL,
CARMEN DAVAO,PHL,
CARMEN BOHOL,PHL,
GM ALVAREZ CAV,PHL,
PANIQUI TARLAC,PHL,
MANGATAREM PGN,PHL,
DIFFUN QUIRINO,PHL,
AD ILOG OC MDO,PHL,
MURCIA NEG OC,PHL,
LIGAO ALBAY,PHL,
KABASALAN ZAM DS,PHL,
BATO CAM SUR,PHL,
LAGUINDINGAN MO,PHL,
KABANKALAN N OC,PHL,
TABOGON CEBU,PHL,
ANINI Y ANTIQUE,PHL,
SN LUIS PAMPANGA,PHL,
NABUNTURAN DAVAO,PHL,
SURIGAO CITY,PHL,
MAHATAO BATANES,PHL,
CARCAR CEBU,PHL,
SARANGANI DVO DS,PHL,
MALABUYOC CEBU,PHL,
OAS ALBAY,PHL,
QUEZON ISABELA,PHL,
COLOMBO,LKA,
DANSA,ETH,
NADA,ETH,
KOFELE,ETH,
KURUNEGALA,LKA,
TANJAY NEG OR,PHL,
KUTTIYADI KERALA,IND,
CARIGARA LEYTE,PHL,
LAPU-LAPU CITY,PHL,
BUTUAN CITY,PHL,
NEW BATAAN DVO,PHL,
TALISAY BATANGAS,PHL,
BACOLOD LANAO DN,PHL,
BAGUIO BENGUET,PHL,
TABANGO LEYTE,PHL,
AMULUNG CAGAYAN,PHL,
PILAR BATAAN,PHL,
BURGOS ILOCOS N,PHL,
BADOC ILOCOS N,PHL,
VALENCIA CITY,PHL,
SAN ISIDRO NE,PHL,
M MARCOS S KUD,PHL,
UMZINGWANE,ZWE,
CLARIN BOHOL,PHL,
BANGUED ABRA,PHL,
OSLOB CEBU,PHL,
MAWAB DAVAO,PHL,
TAGUM CITY,PHL,
SINAIT ILOCOS SR,PHL,
AROROY MASBATE,PHL,
BALATAN CAM SUR,PHL,
E SALVADOR MS OR,PHL,
LANTAPAN BKN,PHL,
TBOLI S COTABATO,PHL,
LEON ILOILO,PHL,
PURA TARLAC,PHL,
CARMONA CAVITE,PHL,
SALAY MIS OR,PHL,
BANI PANGASINAN,PHL,
BANGA S COTABATO,PHL,
TABUK KALINGA,PHL,
MANUKAN ZAM DN,PHL,
CARRANGLAN NE,PHL,
BAYUGAN ADS,PHL,
MIRPUR AK,PAK,
MARAMAG BUKIDNON,PHL,
CONCEPCION TLC,PHL,
BAYAWAN NEG OR,PHL,
TACURONG S KUD,PHL,
GAPAN N ECIJA,PHL,
MYINGYAN,MMN,
MAPANDAN PGN,PHL,
MASBATE MASBATE,PHL,
KALIBO AKLAN,PHL,
MEDELLIN CEBU,PHL,
STO TOMAS PGN,PHL,
NVA VALENCIA GMR,PHL,
SALCEDO E SAMAR,PHL,
PONTEVEDRA CAPIZ,PHL,
HINIGARAN NEG OC,PHL,
LALA LANAO DN,PHL,
BAROBO SDS,PHL,
CATEEL DVO OR,PHL,
BULAWAYO,ZWE,
DAPITAN CITY,PHL,
SAKHINETIPALLI ANDHRA PRADESH,IND,
VALENCIA BKN,PHL,
ALICIA ISABELA,PHL,
ROSARIO NO SAMAR,PHL,
QUEZON BUKIDNON,PHL,
SARRAT ILOCOS N,PHL,
RIZAL CAGAYAN,PHL,
TALISAY NEG OC,PHL,
TAMBULIG ZAM DS,PHL,
BONGAO TAWI TAWI,PHL,
LAIKIPIA EAST,KEN,
BINAN LAGUNA,PHL,
MINGLANILA CEBU,PHL,
G HERNANDEZ BHL,PHL,
JIDA,ETH,
ERANHIPALAM KERALA,IND,
KANANGA LEYTE,PHL,
CONCEPCION ILOILO,PHL,
HAMISI KEN,KEN,
LAPU LAPU CEBU,PHL,
BANTAYAN CEBU,PHL,
CANSAULIM GOA,IND,
BALENO MASBATE,PHL,
DALAGUETE CEBU,PHL,
MALANGAS ZAM DS,PHL,
MOTIONG W SAMAR,PHL,
KOLAMBUGAN LDN,PHL,
MURANG A EAST,KEN,
TAITA KEN,KEN,
BORONGAN E SAMAR,PHL,
PROSPERIDAD ADS,PHL,
CP GARCIA BOHOL,PHL,
BAGANGA DVO OR,PHL,
BOAC MARINDUQUE,PHL,
PAGBILAO QUEZON,PHL,
CALATAGAN BTS,PHL,
MALINAO AKLAN,PHL,
LUBUAGAN K APO,PHL,
PALAPAG NO SAMAR,PHL,
SN RICARDO S LTE,PHL,
PENARANDA NE,PHL,
STA CRUZ LAGUNA,PHL,
ISABEL LEYTE,PHL,
LUPAO N ECIJA,PHL,
LAL LO CAGAYAN,PHL,
S FERNANDO CAM S,PHL,
TAMPAKAN SO COT,PHL,
VALLEHERMOSO NEG,PHL,
CALAUAG QUEZON,PHL,
ILOILO CITY,PHL,
COMPOSTELA DVO,PHL,
GUINDULMAN BOHOL,PHL,
TUBIGON BOHOL,PHL,
KISII CENTRAL KEN,KEN,
ALEM TENA,ETH,
LAGAWE IFUGAO,PHL,
BALASAN ILOILO,PHL,
BACONG NEG OR,PHL,
CABARROGUIS QRN,PHL,
KIRINYAGA,KEN,
DYMOCK KERALA,IND,
LADANG NO SAMAR,PHL,
GUIGUINTO BUL,PHL,
STA CRUZ ZBS,PHL,
ANGELES CITY,PHL,
P PRINCESA CITY,PHL,
TARLAC CITY,PHL,
MERSA,ETH,
DAGENHAM,BRA,
D ALBANO ISABELA,PHL,
SULOP DVO DS,PHL,
MARGOSATUBIG ZDS,PHL,
DIGOS DVO DS,PHL,
LAGUNA,PHL,
PUNE MAHARASHTRA,IND,
MARAWILA,LKA,
NAGA CEBU,PHL,
BILI SILTO,ETH,
WOLISO,ETH,
RACHUONYO KEN,KEN,
GERMAMA SHINITO,ETH,
MONKAYO DVO DN,PHL,
TERESA RIZAL,PHL,
ELU AGA,ETH,
SASMUAN PAMPANGA,PHL,
DALE,ETH,
DEKO,ETH,
WELDIYA,ETH,
THALAIMANNAR,LKA,
APARRI CAGAYAN,PHL,
MUNOZ N ECIJA,PHL,
CHITWAN,NPL,
CALAPE BOHOL,PHL,
SAN FABIAN PGN,PHL,
TULUNAN NO COT,PHL,
RODRIGUEZ RIZAL,PHL,
DUPAX DN N VIZ,PHL,
MEXICO PAMPANGA,PHL,
TASNKENT,UZB,
DASOL PGN,PHL,
SINDHUPALCHOK,NPL,
GAMPAHA,LKA,
NEGOMBO,LKA,
THALA GUJARAT,IND,
ILAGAN ISABELA,PHL,
TARRAGONA DVO OR,PHL,
RANNA,LKA,
PAOAY ILOCOS N,PHL,
RASUWA,NPL,
KHOTANG,NPL,
NEKEMTE,ETH,
GORO,ETH,
BUNAWAN ADS,PHL,
CAG DE ORO CITY,PHL,
DUMINGAG ZAM DS,PHL,
MULKI KARNATAKA,IND,
SUYO ILOCOS SUR,PHL,
YATTA,KEN,
BUTERE KEN,KEN,
HILONGOS LEYTE,PHL,
LIPA CITY,PHL,
BALINGASAG MS OR,PHL,
SEETA,UGA,
KAYUNGA,UGA,
ACHA TUGI,CMR,
CHIBI,ZWE,
TIGANIA CENTRAL,KEN,
PAURI GARHWAL UTTARAKHAND,IND,
KONAK,TKM,
PASSI ILOILO,PHL,
IRIGA CITY,PHL,
SINDANGAN ZAM DN,PHL,
YAYA GULELE,ETH,
DEDER,ETH,
JABONGA ADN,PHL,
SAN MIGUEL LEYTE,PHL,
ENTEBBE,UGA,
JEMJEM,ETH,
POTIA IFUGAO,PHL,
LA CARLOTA CITY,PHL,
DARAM SAMAR,PHL,
CUYAPO NUEVA ECIJA,PHL,
BAROBO SGO DS,PHL,
LAPULAPU CEBU,PHL,
SAN MATEO ISA,PHL,
AWASH,ETH,
DESSIE,ETH,
GUMACA QUEZON,PHL,
SOLANA CAGAYAN,PHL,
MALABON MM,PHL,
NOURTH SHAWA,ETH,
RAYA KOBO,ETH,
DANAO CEBU,PHL,
CANDELARIA ZBS,PHL,
MONKAYO DVO,PHL,
CANDONI NEG OC,PHL,
TALAKAG BUKIDNON,PHL,
WOLDIYA,ETH,
KUDAYATHUR KERALA,IND,
DIREDAWA,ETH,
BUEE,ETH,
SN JUAN BATANGAS,PHL,
SIBUCO ZAM DN,PHL,
PLACER MASBATE,PHL,
SIAY ZAM DS,PHL,
MALLIG ISABELA,PHL,
HEWANI,ETH,
BURE,ETH,
ASHEKUBEGA,ETH,
LEGETAFO,ETH,
JULITA LEYTE,PHL,
ORANI BATAAN,PHL,
KAPALONG DAVAO,PHL,
BAYOG ZAM DS,PHL,
NAGUILIAN ISABELA,PHL,
FLORA K APAYAO,PHL,
NARRA PALAWAN,PHL,
SIATON NEG OR,PHL,
BOBON NO SAMAR,PHL,
MINA ILOILO,PHL,
UBAY BOHOL,PHL,
KAKAMENGA,KEN,
KIBLAWAN DVO DS,PHL,
SEKE,ZWE,
BUCAY ABRA,PHL,
OTON ILOILO,PHL,
SN FRANCISCO ADS,PHL,
GAPAN NECIJA,PHL,
KORONADAL COT,PHL,
SAN FERNANDO BKN,PHL,
GLAN S COTABATO,PHL,
MARIKINA CITY,PHL,
MANABO ABRA,PHL,
SOCORRO OR MDO,PHL,
PLARIDEL BULACAN,PHL,
ANDA PANGASINAN,PHL,
LAGOS,NGA,
VALLADOLID N OC,PHL,
DUMALINAO ZAM DS,PHL,
TIBILA,ETH,
BORKOSHA,ETH,
JONES ISABELA,PHL,
STO TOMAS BTS,PHL,
DEBRESINA,ETH,
TULU BOLO,ETH,
VIGAN ILOCOS SUR,PHL,
TAGUIG MM,PHL,
MANKAYAN BENGUET,PHL,
DATU SINSUAT MGD,PHL,
MUREWA,ZWE,
KISUMU,KEN,
ZAF,THA,
CORTES SGO DS,PHL,
SAN MIGUEL BOHOL,PHL,
MONKAYO DAVAO,PHL,
BUENAVISTA BOHOL,PHL,
STA CATALINA NEG,PHL,
ASINGAN PGN,PHL,
JORDAN GUIMARAS,PHL,
MARIA NEG OR,PHL,
HINUNANGAN S LTE,PHL,
ROXAS OR MDO,PHL,
SALCEDO ILS SR,PHL,
ASTURIAS CEBU,PHL,
DIADI N VIZCAYA,PHL,
KALOOKAN CITY,PHL,
MAKERERE,UGA,
FICHE,ETH,
ARSI NEGELE,ETH,
WEST GOJJAM,ETH,
JINJA,UGA,
NGOMA,UGA,
SAGAY CITY,PHL,
DIGALU TIJO,ETH,
TOMBODU KONO,SLE,
GAYENT,ETH,
HYDERABAD TELANGANA,IND,
MAKINDYE,UGA,
CHENNAI TAMIL NADU,IND,
JAMA,ETH,
RIPPON GARDEN NILE AVENUE,UGA,
TEHRAN,IND,
PUDUVALASAI TAMIL NADU,IND,
GUDUR ANDHRA PRADESH,IND,
SIMADA,ETH,
LABRIKIYINE MAROC,MAR,
HABRU,ETH,
