name,country_code
ENTEBBE,UGA
LA CARLOTA CITY,PHL
CUYAPO NUEVA ECIJA,PHL
BAROBO SGO DS,PHL
LAPULAPU CEBU,PHL
SOLANA CAGAYAN,PHL
KIRINYAGA,KEN
SANCHEZ MIRA CAG,PHL
MAAYON CAPIZ,PHL
MALLIG ISABELA,PHL
METEMA,ETH
ORANI BATAAN,PHL
PASAY CITY,PHL
NAGUILIAN ISABELA,PHL
BOBON NO SAMAR,PHL
OAS ALBAY,PHL
SEKE,ZWE
VIHIGA,KEN
BANGUED ABRA,PHL
BUCAY ABRA,PHL
OTON ILOILO,PHL
KORONADAL COT,PHL
SAN ISIDRO NE,PHL
MARIKINA CITY,PHL
SOCORRO OR MDO,PHL
LUCENA CITY,PHL
PLARIDEL BULACAN,PHL
POZORRUBIO PGN,PHL
VALLADOLID N OC,PHL
SAN MATEO ISA,PHL
TIBILA,ETH
MURASA,ETH
STO TOMAS BTS,PHL
VIGAN ILOCOS SUR,PHL
TAGUIG MM,PHL
MUREWA,ZWE
KISUMU,KEN
ZAF,THA
CORTES SGO DS,PHL
SAN MIGUEL BOHOL,PHL
MONKAYO DAVAO,PHL
PASIG MM,PHL
URDANETA PGN,PHL
ASINGAN PGN,PHL
PANIQUI TARLAC,PHL
JORDAN GUIMARAS,PHL
MARIA NEG OR,PHL
HINUNANGAN S LTE,PHL
ROXAS OR MDO,PHL
ASTURIAS CEBU,PHL
KALOOKAN CITY,PHL
MAKERERE,UGA
NAKURU KEN,KEN
JINJA,UGA
NGOMA,UGA
DIGALU TIJO,ETH
TOMBODU KONO,SLE
GAYENT,ETH
RIPPON GARDEN NILE AVENUE,UGA
GUDUR ANDHRA PRADESH,IND
SIMADA,ETH
LABRIKIYINE MAROC,MAR
LAUR NUEVA ECIJA,PHL
SAGAY NEG OC,PHL
CAUAYAN NEG OC,PHL
ABUYOG LEYTE,PHL
ASUNCION DAVAO,PHL
TOFFO ATL,SLE
LUPAO N ECIJA,PHL
CATANAUAN QZN,PHL
AMULUNG CAGAYAN,PHL
CARMEN DAVAO,PHL
KURA JIDA,ETH
ANOSIZATO EST,MDG
KAKAMEGA CENTRAL KEN,KEN
ILOILO CITY,PHL
MAMBUSAO CAPIZ,PHL
PILAR CAPIZ,PHL
AINAPURAM ANDHRA PRADESH,IND
NAWALPARASI  WEST,NPL
MITHIRMALA KERALA,IND
MAHAWA,LKA
CARDONA RIZAL,PHL
BAUANG LA UNION,PHL
SIAY ZAM DS,PHL
PIDIGAN ABRA,PHL
HOSSANA,ETH
BALIANGAO MIS OC,PHL
MATAG OB LEYTE,PHL
TANAUAN LEYTE,PHL
NAIC CAVITE,PHL
MABITAC LAGUNA,PHL
KAITHARAM KERALA,IND
ALCALA CAGAYAN,PHL
ISULAN S KUDARAT,PHL
DUMAGUETE CITY,PHL
SANTIAGO ISABELA,PHL
BALETE AKLAN,PHL
MALUNGON SRN,PHL
BAMBAN TARLAC,PHL
TALUGTOG N ECIJA,PHL
LA CARLOTA N OC,PHL
THRISSUR KERALA,IND
GULMI,NPL
SIAYA KEN,KEN
LEMERY ILOILO,PHL
CADIZ NEG OC,PHL
SAN JUAN BATANGAS,PHL
MUKONO,UGA
WAO LANAO DS,PHL
MABINI PGN,PHL
SODAWAS RAJASTHAN,IND
THURAIYUR TAMIL NADU,IND
KILIFI,KEN
SOUTH UPI MGD,PHL
NAGA CEBU,PHL
PONTEVEDRA NEG OC,PHL
TURKMENISTAN,TKM
BOMBO,UGA
CHILAW,LKA
LOHIAN KHAS PUNJAB,IND
LUWEERO,UGA
UMBADA,ESP
ARSI,ETH
CAG DE ORO CITY,PHL
LAPU LAPU CITY,PHL
NKORANZA,TZA
ALLACAPAN CAG,PHL
PINIZ ILOCOS N,PHL
MARIKINA RIZAL,PHL
TIGBAUAN ILOILO,PHL
LAPUYAN ZAM DS,PHL
PADRE GARCIA BTS,PHL
EB MAGALONA N OC,PHL
BALIUAG BULACAN,PHL
NANDI,KEN
DANG,NPL
SHANDONG,PHL
RUNDERA RAJASTHAN,IND
MUNSHIWALA PUNJAB,IND
MOGADISHU,BRA
STA MARIA PGN,PHL
TALAVERA N ECIJA,PHL
ALCALA PGN,PHL
TUDELA CEBU,PHL
KATIKAMU,UGA
ROLSABSAR RAJASTHAN,IND
STO TOMAS PMP,PHL
MACHAKOS,KEN
GIRADURUKOTTE,LKA
BAYBAY LEYTE,PHL
ESCALANTE NEG OC,PHL
PLACER SGO DN,PHL
PITOGO QUEZON,PHL
KAKAMEGA,KEN
SILAY CITY,PHL
ATIMONAN QUEZON,PHL
KINGRA CHOWALA PUNJAB,IND
KUMBAZHA KERALA,IND
MALAPPURAM KERALA,IND
MANOHARPUR JHARKHAND,IND
MPIGI,UGA
BARBAZA ANTIQUE,PHL
NAGGALAMA,UGA
MLANG NO COT,PHL
MAIGO LANAO DN,PHL
EMBU KEN,KEN
HAMTIC ANTIQUE,PHL
GINGOOG CITY,PHL
CABATUAN ISABELA,PHL
LIBMANAN CAM SUR,PHL
NAGCARLAN LAGUNA,PHL
VICTORIA TARLAC,PHL
MELAPALAYAM TAMIL NADU,IND
BINAN LAGUNA,PHL
KODIMATHA KERALA,IND
KOTHAMANGALAM KERALA,IND
GHOLVAD MAHARASHTRA,IND
KABEREBERE II,UGA
PONTEVEDRA CAPIZ,PHL
SAN FRANCISCO ADS,PHL
KANNUR KERALA,IND
ASUNCION DVO DN,PHL
FREETOWN,SLE
BONIFACIO MIS OC,PHL
BUGASONG ANTIQUE,PHL
ROSELLER LIM ZDS,PHL
PANAY CAPIZ,PHL
LEBAK S KUDARAT,PHL
RIZAL KALINGA,PHL
VALENZUELA MM,PHL
DINALUPIHAN BTN,PHL
ALIAGA N ECIJA,PHL
KORONADAL SO COT,PHL
ALLEN NO SAMAR,PHL
UPI MAGUINDANAO,PHL
ROXAS CITY,PHL
GM NATIVIDAD NE,PHL
GAMU ISABELA,PHL
MUMIAS,KEN
TOLEDO CITY,PHL
VICTORIAS NEG OC,PHL
POTOTAN ILOILO,PHL
DIPLAHAN ZAM DS,PHL
TALISAY NEG OC,PHL
ENATHU KERALA,IND
MILAGROS MASBATE,PHL
GUIMBA NUEVA ECIJA,PHL
BADAMTAM T E WEST BENGAL,IND
KIANGAN IFUGAO,PHL
KOTHAD KERALA,IND
IRINJALAKKUDA KERALA,IND
BUENAVISTA ADN,PHL
MINALABAC CAM SUR,PHL
STA LUCIA ILS SR,PHL
IPIL ZAM DS,PHL
SAN ISIDRO SGO DN,PHL
THANNITHODU KERALA,IND
SULTHAN BATHERY KERALA,IND
PANITAN CAPIZ,PHL
BAGABAG N VIZ,PHL
CORDON ISABELA,PHL
KAMWENGE,UGA
ANGADANAN ISA,PHL
KAMUKUNJI,KEN
BINMALEY PGN,PHL
STO NINO SO COT,PHL
SAN MANUEL PGN,PHL
BAGUIO CITY,PHL
NAGUILIAN LA UNION,PHL
TANZA CAVITE,PHL
CALATRAVA RBN,PHL
TANGUB CITY,PHL
NYAMACHE,KEN
OSLOB CEBU,PHL
MERU,KEN
MURANG A,KEN
PAGALUNGAN MGD,PHL
STA ROSA LAGUNA,PHL
ECHAGUE ISABELA,PHL
IRIGA CAM SUR,PHL
LOS BANOS LAGUNA,PHL
ALMERIA LEYTE,PHL
LOPEZ QUEZON,PHL
KATAKWI,UGA
ILIGAN CITY,PHL
NAHARANI RESERVE GRANT ASSAM,IND
CHAK CHELA PUNJAB,IND
PUTHILA KARNATAKA,IND
PALPA,NPL
CHARIK PUNJAB,IND
DOSTPUR BIHAR,IND
NUWAKOT,NPL
PALANGKARAYA,IDN
NORYMBERGA,PHL
GEMBE,ETH
DHADING,NPL
SAN MATEO RIZAL,PHL
LEGAZPI CITY,PHL
PASIL KALINGA,PHL
PENABLANCA CAGAYAN,PHL
ANGECHA,ETH
MALIKIPURAM ANDHRA PRADESH,IND
MARINDAL,IDN
CASIGURAN AURORA,PHL
OKTWIN,MMN
ILOG NEG OC,PHL
DHILWAN PUNJAB,IND
SALMARA GAON RUPKURIA ASSAM,IND
LEHAL PUNJAB,IND
RAM RAUNI PUNJAB,IND
BANGAR LA UNION,PHL
VICTORIA OR MDO,PHL
NADALA PUNJAB,IND
DHUNGDHAR UTTARAKHAND,IND
NAKASONGOLA,UGA
BAGLUNG,NPL
UJJAIN MADHYA PRADESH,IND
BEN GUERIR,MAR
TALAKAG BUKIDNON,PHL
KOVVURU ANDHRA PRADESH,IND
RAMESWARAM ANDHRA PRADESH,IND
KANCHIYAR KERALA,IND
TOAMASINA,MDG
PALAUIG ZAMBALES,PHL
CAVINTI LAGUNA,PHL
KULAR PUNJAB,IND
CHUVANNUMANNU KERALA,IND
ACHHAM,NPL
ARAYAT PAMPANGA,PHL
BALAGTAS BULACAN,PHL
NORALA SO COT,PHL
SIDDAKATTE KARNATAKA,IND
SURALLAH SO COT,PHL
KISII,KEN
BALAYAN BTS,PHL
PASAY RIZAL,PHL
ABULUG CAGAYAN,PHL
BEKASI,IDN
AJUY ILOILO,PHL
TINGLAYAN K APO,PHL
SAN PASCUAL MBT,PHL
ST BERNARD S LTE,PHL
SAN RAFAEL BUL,PHL
NANDI NORTH,KEN
MOLO,KEN
KITOVU,UGA
TALIBON BOHOL,PHL
KAPALONG DAVAO,PHL
SN FRANCISCO CEB,PHL
STA CRUZ LAGUNA,PHL
BUFUMBO,UGA
MUTASA,ZWE
KAWANDA,UGA
KODUNGALLUR KERALA,IND
VILLAVICIOSA ABR,PHL
ROSARIO CAVITE,PHL
MUNOZ N ECIJA,PHL
DIVILACAN ISA,PHL
SAN NARCISO QZN,PHL
BONGABONG OR MDO,PHL
ESPERANZA S KUD,PHL
DIGOS DVO DS,PHL
BENAVENTE SANTAREM,RUS
KIAMBU WEST,KEN
NAIROBI KEN,KEN
LUGARI,KEN
PARIS,ARM
BOGOTA COL,COL
MERCEDES ISABELA,PHL
CABARROGUIS QRN,PHL
MANUKAN ZAM DN,PHL
HILONGOS LEYTE,PHL
BINALBAGAN N OC,PHL
CANDELARIA QZN,PHL
JAEN NUEVA ECIJA,PHL
MALINAO ALBAY,PHL
SAN PEDRO LAGUNA,PHL
BINANGONAN RIZAL,PHL
USON MASBATE,PHL
MATARA,LKA
NILDANDAHINNA,LKA
DIONISIO ILOILO,PHL
SIPALAY NEG OC,PHL
STA MARIA LAGUNA,PHL
NAROK,KEN
RAZOLE ANDHRA PRADESH,IND
MADDELA QUIRINO,PHL
TASHKENT REGION,UZB
JAIGAON WEST BENGAL,IND
HOSHIARPUR PUNJAB,IND
MANJUYOD NEG OR,PHL
MAUBAN QUEZON,PHL
GUMLA JHARKHAND,IND
SALEMPUR MASANDAN PUNJAB,IND
TRICHY TAMIL NADU,IND
TAKHTU CHAK PUNJAB,IND
KARAR WALA PUNJAB,IND
BARCELONA,ESP
IRIGA CITY,PHL
SAN JUAN ABRA,PHL
BAGO CITY,PHL
KITCHARAO ADN,PHL
TARRAGONA DVO OR,PHL
CANDON ILS SR,PHL
CALBAYOG CITY,PHL
LIBUNGAN COTABATO,PHL
SAN FERNANDO PMP,PHL
MACARTHUR LEYTE,PHL
TALAKAG BKN,PHL
SALVADOR LDN,PHL
CAMALANIUGAN CAG,PHL
SARANGANI DVO DS,PHL
KYAMULINGA,UGA
PORTO NOVO,SLE
PINILI ILOCOS N,PHL
DANGCAGAN BKN,PHL
DINGALAN AURORA,PHL
BURGOS ILS SR,PHL
GEN SANTOS CITY,PHL
NASUGBU BATANGAS,PHL
PAGSANJAN LAGUNA,PHL
B SOLIVEN ISABELA,PHL
CALOOCAN CITY,PHL
MALAYBALAY BKN,PHL
ENRILE CAGAYAN,PHL
BASEY SAMAR,PHL
ARGAO CEBU,PHL
ALEOSAN NO COT,PHL
TACLOBAN CITY,PHL
ARITAO N VIZ,PHL
MANDAUE CEBU,PHL
HAMISI,KEN
CARANGAN CAM SUR,PHL
S BARBARA ILOILO,PHL
PASUQUIN ILS NO,PHL
CALUMPIT BULACAN,PHL
TAYUM ABRA,PHL
KHUNTI JHARKHAND,IND
CAINTA RIZAL,PHL
CABUCGAYAN LEYTE,PHL
KALAMANSIG S KUD,PHL
NOVELETA CAVITE,PHL
SERANG,IDN
BOKOD BENGUET,PHL
AURORA ISABELA,PHL
BUHI CAM SUR,PHL
TIWI ALBAY,PHL
STA CATALINA NEG,PHL
STA CRUZ DVO DS,PHL
BACOLOD NEG OC,PHL
NORALA S COTABATO,PHL
ROXAS ISABELA,PHL
TANGALAN AKLAN,PHL
AMPATUAN MGD,PHL
SAN MIGUEL SDS,PHL
RAPU RAPU ALBAY,PHL
BAIS CITY,PHL
DASOL PGN,PHL
ROSALES PGN,PHL
ARTECHE E SAMAR,PHL
BAGAC BATAAN,PHL
SIBAGAT ADS,PHL
MARIKINA MM,PHL
MASINLOC ZBS,PHL
BUNAMASA,UGA
NAMAGOMA,UGA
MURANGA KEN,KEN
WAYANAD KERALA,IND
KIBIBI,UGA
LIMURU,KEN
TALISAY BATANGAS,PHL
KALILANGAN BKN,PHL
GEN TRIAS CAVITE,PHL
BUENAVISTA BOHOL,PHL
AGARO,ETH
KYRGYZ REPUBLIC,KGZ
BHIMAVARAM ANDHRA PRADESH,IND
FOGERA,ETH
PAMBUJAN NO SMR,PHL
CALAUAN LAGUNA,PHL
NSAMBYA,UGA
GUMACA QUEZON,PHL
AROROY MASBATE,PHL
VIRAC CDS,PHL
MALASIQUI PGN,PHL
PARANG MGD,PHL
WEDZA,ZWE
NYANDARUA NORTH,KEN
DAET CAM NO,PHL
MIDA,ETH
TAGOLOAN MIS OR,PHL
KAPALONG DVO DN,PHL
PAGADIAN CITY,PHL
BADIANGAN ILOILO,PHL
NARVACAN ILS SR,PHL
CAMALIG ALBAY,PHL
KATTOOR KERALA,IND
CAMILING TARLAC,PHL
NAGUILIAN ISA,PHL
KHARIAR ODISHA,IND
CUENCA BATANGAS,PHL
BOTA ANNEX HOSPITAL,CMR
BOKOJI,ETH
MOMBASA,KEN
GOBESA,ETH
BURI RAM,THA
RUDAULI UTTAR PRADESH,IND
CHANGANASSERY KERALA,IND
KIAMBA SARANGANI,PHL
TIPOTIPO BASILAN,PHL
GARUR UTTARAKHAND,IND
MAGSAYSAY ISA,PHL
ALABEL SARANGANI,PHL
LINGAYEN PGN,PHL
ALOGUINSAN CEBU,PHL
GALLE,LKA
BARIRA MGD,PHL
KABAROLE,UGA
KALLABETTU KARNATAKA,IND
ANTANAMBAO ANDOHATAPENAKA,MDG
CANDELARIA ZBS,PHL
MONTEVISTA DAVAO,PHL
HURLUNG BOKARO JHARKHAND,IND
GONIGODA,LKA
BIR ENNASRE,MAR
ADDIS ABABA,ETH
BACON SORSOGON,PHL
SIPOCOT CAM SUR,PHL
QUEZON BUKIDNON,PHL
MILAOR CAM SUR,PHL
UASIN GISHU,KEN
LUNA LA UNION,PHL
CIANJUR,IDN
STA CRUZ OC MDO,PHL
MAYANTOC TARLAC,PHL
ANGAT BULACAN,PHL
DEBRE BIRHAN,ETH
CABANGLASAN BKN,PHL
HARGAMA,LKA
PRES ROXAS CAPIZ,PHL
BUGALLON PGN,PHL
VILPATHA,LKA
DONSOL SORSOGON,PHL
SAN PABLO LAGUNA,PHL
AHMEDABAD GUJARAT,IND
SINDHULI,NPL
KADIYANGAD KERALA,IND
TADEPALLIGUDEM ANDHRA PRADESH,IND
WEHERAYAYA,LKA
MIRIK WEST BENGAL,IND
CHHATTAR HIMACHAL PRADESH,IND
LUPANE,ZWE
BAMBANG N VIZ,PHL
SINDANGAN ZAM DN,PHL
LAZI SIQUIJOR,PHL
MALAPATAN SO COT,PHL
MEYCAUAYAN BUL,PHL
SN JOSE BATANGAS,PHL
MATANOG MGD,PHL
CHAUNG U,MMN
TALUSAN ZAM DS,PHL
SN JUAN LA UNION,PHL
KOTTAYAM KERALA,IND
ILAM,NPL
JHAPA,NPL
COCHIN KERALA,IND
TUAO CAGAYAN,PHL
NAWALPARASI WEST,NPL
THATHI PUNJAB,IND
KAJIADO,KEN
TAAL BATANGAS,PHL
ISINGIRO,UGA
MARGAO GOA,IND
KIAMBU KEN,KEN
NYERI KEN,KEN
KIRUHURA,UGA
HMA WBY,MMN
PHAYAO,THA
CHHAYA PORBANDAR GUJARAT,IND
UPPER BAGDOGRA WEST BENGAL,IND
WEST SINGHBHUM JHARKHAND,IND
UMARI BIHAR,IND
MOODBIDRI KARNATAKA,IND
BYAKUDU KARNATAKA,IND
AROOR KARNATAKA,IND
HEIROK MANIPUR,IND
SAN JOSE TARLAC,PHL
TARLAC CITY,PHL
LAS PINAS CITY,PHL
BINDURA,ZWE
RAJA SANSI PUNJAB,IND
MATALE,LKA
HOWRAH WEST BENGAL,IND
DARJEELING WEST BENGAL,IND
KARKALA KARNATAKA,IND
NAWALPARASI,NPL
UDAYAPUR,NPL
BAINCHI WEST BENGAL,IND
HADIPUR WEST BENGAL,IND
Arghakhanchi,NPL
BURAUEN LEYTE,PHL
OBANDO BULACAN,PHL
KAYAMKULAM KERALA,IND
IRAMBA,TZA
THIRUVALLA KERALA,IND
VERKA AMRITSAR PUNJAB,IND
KAVREPALANCHOK,NPL
ELPITIYA,LKA
GUNUNGKIDUL,IDN
BHANDARKURA WEST BENGAL,IND
JANIUAY ILOILO,PHL
LABO CAM NO,PHL
HINIGARAN NEG OC,PHL
KASIBU N VIZ,PHL
CHEGUTU,ZWE
MALVAR BATANGAS,PHL
LIDLIDDA ILS SR,PHL
RAMRAJ UTTAR PRADESH,IND
STA ANA CAGAYAN,PHL
ARALAN KERALA,IND
NATAL,BRA
DIPOLOG CITY,PHL
DUMANGAS ILOILO,PHL
PUNE MAHARASHTRA,IND
LUTEETE,UGA
LIPA BATANGAS,PHL
SHAMVA,ZWE
SAN JOSE CITY,PHL
BULATHKOHUPITIYA,LKA
DELHI DELHI,IND
GUCHA SOUTH,KEN
GAPAN N ECIJA,PHL
TAGUM DAVAO,PHL
MONTEVISTA COMV,PHL
PORO CEBU,PHL
BADAGARA KERALA,IND
MIAGAO ILOILO,PHL
NVA VALENCIA GMR,PHL
CARLES ILOILO,PHL
POLILLO QUEZON,PHL
DIMATALING ZDS,PHL
ALAMADA COTABATO,PHL
CAN AVID E SAMAR,PHL
CALAMBA LAGUNA,PHL
MEXICO PAMPANGA,PHL
RVTH BANJUL,AZE
PALLISA,UGA
T MARTIRES CITY,PHL
ILAGAN ISABELA,PHL
SORSOGON SSG,PHL
DUMARAO CAPIZ,PHL
KOUTABA,CMR
LALA LANAO DN,PHL
TOBOSO NEG OC,PHL
LUMBAN LAGUNA,PHL
NAVOTAS RIZAL,PHL
JEPARA,IDN
MACO DAVAO,PHL
VALENZUELA CITY,PHL
BUHERA,ZWE
MARONDERA,ZWE
MASAKA,UGA
MUBENDE,UGA
NYENGA,UGA
PILA LAGUNA,PHL
DATU SINSUAT MGD,PHL
RAIGAD MAHARASHTRA,IND
LOMBOK TENGAH,IDN
SAN ANDRES CDS,PHL
MRIZIG MAROC,MAR
NUWARA ELIYA,LKA
SOUTH WOLLO,ETH
FORMOSA GO,BRA
LANGIANA PURANA PUNJAB,IND
KAIPAMANGALAM KERALA,IND
KOLATHUR TAMIL NADU,IND
SAMARKAND REGION,UZB
MAKAWANPUR,NPL
RUPANDEHI,NPL
NAZIGO,UGA
MBALE,UGA
PALIMBANG S KUD,PHL
SABLAYAN OC MDO,PHL
TALATAMATY,MDG
UDUPI KARNATAKA,IND
MANIMALA KERALA,IND
KURRAM PAK,PAK
HONAVAR KARNATAKA,IND
FENDEKA,ETH
EJERE,ETH
MINJAR,ETH
AFLAO,TZA
SHASHEMENE,ETH
CHIVHU,ZWE
LOMIWUHA,ETH
ATHUR KARNATAKA,IND
KAUSHAMBI UTTAR PRADESH,IND
DERA GHAZI KHAN,PAK
ANAPETTY KERALA,IND
CHIRAYINKEEZHU KERALA,IND
KADUGANNAWA,LKA
KISII CENTRAL KEN,KEN
KOLLADA KERALA,IND
MANAKADAVU KERALA,IND
LWENGO,UGA
KUNNAMKULAM KERALA,IND
MALA KERALA,IND
AMRITSAR PUNJAB,IND
LLANERA N ECIJA,PHL
BALUD MASBATE,PHL
ORMOC CITY,PHL
KUMBALANGHI KERALA,IND
GUINOBATAN ALBAY,PHL
PANUKULAN QUEZON,PHL
TUBO ABRA,PHL
BOKKAWALA,LKA
BAGGAO CAGAYAN,PHL
CHINHOYI,ZWE
MBERENGWA,ZWE
